English,Arabic
as,كما
I,أنا
his,له
that,أن
he,هو
was,كان
for,إلى
on,في
are,هي
with,مع
they,هم
be,يكون
at,في
one,واحد
have,ديك
this,هذا
from,من
by,بواسطة
hot,حار
word,كلمة
but,لكن
what,ما
some,بعض
is,هو
it,هو
you,أنت
or,أو
had,كان
the,و
of,من
to,إلى
and,و
a,و
in,في
we,نحن
can,علبة
out,خارج
other,البعض
were,و
which,التي
do,القيام
their,من
time,الوقت
if,إذا
will,سوف
how,كيف
said,قال
an,و
each,كل
tell,أقول
does,لا
set,مجموعة
three,ثلاثة
want,تريد
air,هواء
well,جيد
also,أيضا
play,لعب
small,صغير
end,نهاية
put,وضع
home,المنزل
read,قرأ
hand,يد
port,ميناء
large,كبير
spell,تهجى
add,إضافة
even,حتى
land,الأرض
here,هنا
must,يجب
big,كبير
high,ارتفاع
such,مثل
follow,تابع
act,فعل
why,لماذا
ask,تطلب
men,الرجال
change,تغيير
went,ذهب
light,ضوء
kind,نوع
off,بعيدا
need,تحتاج
house,منزل
picture,صور
try,محاولة
us,لنا
again,مرة أخرى
animal,الحيوان
point,نقطة
mother,أم
world,العالم
near,قرب
build,بناء
self,النفس
earth,أرض
father,الأب
any,أي
new,جديدة
work,العمل
part,جزء
take,أخذ
get,الحصول على
place,مكان
made,مصنوع
live,حي
where,حيث
after,بعد
back,ظهر
little,القليل
only,فقط
round,جولة
man,رجل
year,عام
came,جاء
show,المعرض
every,كل
good,جيد
me,أنا
give,منح
our,لدينا
under,تحت
name,اسم
very,جدا
through,من خلال
just,فقط
form,شكل
sentence,عقوبة
great,عظيم
think,اعتقد
say,قول
help,مساعدة
low,منخفض
line,خط
differ,اختلف
turn,منعطف
cause,السبب
much,كثيرا
mean,متوسط
before,قبل
move,خطوة
right,الحق
boy,صبي
old,قديم
too,أيضا
same,نفسه
she,هي
all,كل
there,هناك
when,عندما
up,فوق
use,استخدام
your,ك
way,طريق
about,حول
many,كثير
then,ثم
them,هم
write,إرسال
would,أراد
like,مثل
so,هكذا
these,هؤلاء
her,لها
long,طويل
make,جعل
thing,شيء
see,شاهد
him,له
two,اثنين
has,لديه
look,بحث
more,أكثر
day,يوم
could,يمكن
go,تذهب
come,جاء
did,لم
number,عدد
sound,صوت
no,لا
most,أكثر
people,الناس
my,لي
over,على
know,تعرف
water,ماء
than,من
call,دعوة
first,الأول
who,الذي
may,قد
down,إلى
side,الجانب
been,كان
now,الآن
find,اكتشاف
head,رئيس
stand,الوقوف
own,الخاصة
page,الصفحة
should,ينبغي
country,بلد
found,أسس
answer,الجواب
school,المدرسة
grow,تنمو
study,دراسة
still,لا يزال
learn,تعلم
plant,مصنع
cover,غطاء
food,غذاء
sun,شمس
four,أربعة
between,بين
state,دولة
keep,احتفظ
eye,العين
never,أبدا
last,آخر
let,سمح
thought,يعتقد
city,المدينة
tree,شجرة
cross,عبور
farm,مزرعة
hard,شاق
start,بداية
might,قد
story,قصة
saw,منشار
far,الآن
sea,بحر
draw,رسم
left,غادر
